rating,text,name,sentiment,clean_text,cluster
4,"AmazonBasics batteries are quite good in terms of capacity -- pretty much tied for the top spot compared to the other 6 brands I've tested, but other brands have the edge in capacity per dollar. When I computed value by dividing capacity by the cost per battery of the cheapest package size, they took a respectable third place, and they have the advantage of being a trusted name compared to the value leader. In the images I have attached a graph and a table summarizing my test results for the 7 types I've tested, but if you'd like to know more about how I test ... on to the in-dept test review.I've been on a bit of a quest to test all of the top-selling aaa batteries on Amazon in a repeatable, precise way. This means the same equipment, same environmental conditions, and same slots in the equipment will be used for each test. For each test, I fully discharge 3 batteries in my Opus BT-C2000 battery analyzer at rates of 100 ma, 200 ma, and 400 ma (discharge rate affects usable capacity). I have also performed this exact same test (same equipment, same conditions) on the ACDelco, Duracell Procell, Duracell Coppertop, Energizer MAX, Maxell, and Rayovac. I have linked the other brands I've reviewed at the end of this review if you'd like to take a look at the other results for comparison purposes. For the Amazon Basics batteries, the capacity at each discharge rate was:Disch Rt Capacity Runtime Sample use case100 mA 997 mAh 10 hrs Low-power LED flashlight200 mA 914 mAh 4.5 hrs Electronic toy / medium LED flashlight400 mA 623 mAh 1.5 hrs Motorized toy / bright LED flashlightNote that these (and all other Alkalines) would achieve somewhat higher capacity (maybe 1200 mAh) in a low discharge application like a mouse, keyboard, remote control, etc because alkaline batteries have internal resistance that reduces usable capacity at high discharge rates.The capacity of these batteries is among the best I've tested -- take a look at the attached data table for comparative data. For the cost (0.31/ea in a 36 pack right now), these are a decent but beatable value -- the power supplied per dollar spent is very good, but eclipsed by other currently available options.Comparison:These batteries do well capacity-wise, but value-wise are blown away by the currently cheapest energy/dollar battery that I've tested, the ACDelco aaa's. Their capacity results were:Disch Rt Capacity Runtime100 mA 1005 mAh 10 hrs200 mA 864 mAh 4.3 hrs400 mA 670 mAh 1.7 hrsAs you can see, the Amazon batteries were very comperable ... but, at the current time the AmazonBasics batteries are 0.31/ea (36 pack), while the ACDelco batteries are about 0.21/ea (48 pack) -- so the ACDelco are significantly cheaper per mAh. I did not test shelf life, so it's possible that these may hold up better sitting in a drawer. Although both the Amazon batteries and the ACDelco batteries are certainly made on contract by a third party, I do think that I trust Amazon a bit more to provide consistent batteries than ACDelco ... although I haven't had any trouble with my ACDelco batteries so far. It's also worth noting that the Amazon batteries come in clearly superior packaging - while the ACDelco batteries come in a horrible gigantic plastic blister pack, the Amazon batteries come in a closable cardboard box. If you don't go through a lot of batteries organization of your battery drawer is important to you, that could push them into the all-around winner category despite the 50 price premium.Finally, because another review specifically mentions the Rayovac AA's as being 'good' in some usage scenarios, I thought I'd share my findings for the Rayovac AAA's. In short, they're garbage - the Amazon batteries are better in EVERY case. It's possible that the Rayovac AA's are much better than the AAA's, but I think it's more likely that the version of the Rayovacs tested by the website that he got his results from is different than the most popular Rayovac on Amazon (I source all of my batteries from Amazon). I ran the Rayovac test several times because I couldn't believe how poorly they did ... here are some typical Rayovac results:Disch Rt Capacity Runtime100 mA 908 mAh 9 hrs200 mA 590 mAh 2.9 hrs400 mA 443 mAh 1.1 hrsMy other battery tests/reviews:I have posted reviews for Duracell Coppertop, Duracell Procell and ACDelco aaa alkaline batteries with capacity data gathered using the exact same method and equipment. To find those reviews for comparison purposes, go to the product pages linked below and search for 'mah' under 'all reviews' (or just browse to them on my profile). If/when I do additional aaa tests/reviews in the future, I will update this list.ACDelco AAA Super Alkaline BatteriesDuracell AAA Batteries Coppertop MN2400 - 20 PackDuracell Procell AAA Batteries PC2400BKD09Energizer MAX AAA BatteriesMaxell Alkaline Battery AAA CellRayovac Alkaline AAA Batteries",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,amazonbasics batteries quite good terms capacity pretty much tied top spot compared 6 brands ive tested brands edge capacity per dollar computed value dividing capacity cost per battery cheapest package size took respectable third place advantage trusted name compared value leader images attached graph table summarizing test results 7 types ive tested youd like know test indept test reviewive bit quest test topselling aaa batteries amazon repeatable precise way means equipment environmental conditions slots equipment used test test fully discharge 3 batteries opus btc2000 battery analyzer rates 100 200 400 discharge rate affects usable capacity also performed exact test equipment conditions acdelco duracell procell duracell coppertop energizer max maxell rayovac linked brands ive reviewed end review youd like take look results comparison purposes amazon basics batteries capacity discharge rate wasdisch rt capacity runtime sample use case100 997 mah 10 hrs lowpower led flashlight200 914 mah 45 hrs electronic toy medium led flashlight400 623 mah 15 hrs motorized toy bright led flashlightnote alkalines would achieve somewhat higher capacity maybe 1200 mah low discharge application like mouse keyboard remote control etc alkaline batteries internal resistance reduces usable capacity high discharge ratesthe capacity batteries among best ive tested take look attached data table comparative data cost 031ea 36 pack right decent beatable value power supplied per dollar spent good eclipsed currently available optionscomparisonthese batteries well capacitywise valuewise blown away currently cheapest energydollar battery ive tested acdelco aaas capacity results weredisch rt capacity runtime100 1005 mah 10 hrs200 864 mah 43 hrs400 670 mah 17 hrsas see amazon batteries comperable current time amazonbasics batteries 031ea 36 pack acdelco batteries 021ea 48 pack acdelco significantly cheaper per mah test shelf life possible may hold better sitting drawer although amazon batteries acdelco batteries certainly made contract third party think trust amazon bit provide consistent batteries acdelco although havent trouble acdelco batteries far also worth noting amazon batteries come clearly superior packaging acdelco batteries come horrible gigantic plastic blister pack amazon batteries come closable cardboard box dont go lot batteries organization battery drawer important could push allaround winner category despite 50 price premiumfinally another review specifically mentions rayovac aas good usage scenarios thought id share findings rayovac aaas short theyre garbage amazon batteries better every case possible rayovac aas much better aaas think likely version rayovacs tested website got results different popular rayovac amazon source batteries amazon ran rayovac test several times couldnt believe poorly typical rayovac resultsdisch rt capacity runtime100 908 mah 9 hrs200 590 mah 29 hrs400 443 mah 11 hrsmy battery testsreviewsi posted reviews duracell coppertop duracell procell acdelco aaa alkaline batteries capacity data gathered using exact method equipment find reviews comparison purposes go product pages linked search mah reviews browse profile ifwhen additional aaa testsreviews future update listacdelco aaa super alkaline batteriesduracell aaa batteries coppertop mn2400 20 packduracell procell aaa batteries pc2400bkd09energizer max aaa batteriesmaxell alkaline battery aaa cellrayovac alkaline aaa batteries,0
4,A good bang for your buck!! Almost everything now a days uses batteries.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,good bang buck almost everything days uses batteries,0
2,"If it's possible to have gotten a dud batch I sure got it. We BLEW through all these batteries in less than a month. My kids toys aren't that super powered and even in remotes I was having to change batteries way too often. For example the magic touch counting toy, the store batteries lasted 3 years. Popped in some Amazon batteries, 1 month and the second child didn't play with it nearly as much as the first. For the price it was worth the try but I'm going back to the other brands.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),negative,possible gotten dud batch sure got blew batteries less month kids toys arent super powered even remotes change batteries way often example magic touch counting toy store batteries lasted 3 years popped amazon batteries 1 month second child didnt play nearly much first price worth try im going back brands,0
5,NICE PRODUCT,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,nice product,3
5,These worked out great for his battery powered cars I got him. What a awesome deal.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,worked great battery powered cars got awesome deal,3
5,"I used to buy batteries from Costco which come under Kirkland brand. I thought of testing Amazon Basics based on my experience of other Amazon Basics products in the past. These batteries are way better than Kirkland, Energizer and Duracell. The cost is nicely placed. Now my kids have more time to play with toys before the need to replace the batteries. A clear thumbs up!",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,used buy batteries costco come kirkland brand thought testing amazon basics based experience amazon basics products past batteries way better kirkland energizer duracell cost nicely placed kids time play toys need replace batteries clear thumbs,0
5,Like that I can buy these online and in bulk. Have ordered them several times. A good buy,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,like buy online bulk ordered several times good buy,3
4,What can I say Thes batteries work as xpected.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,say thes batteries work xpected,4
5,Good deal for rechargeable. They all work and seem to preform well.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,good deal rechargeable work seem preform well,4
4,They seem to have some good staying power and are cheaper than most other brands. I highly recommend as this box lasts quite a few months with the kids mainly using these for xbox controllers.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,seem good staying power cheaper brands highly recommend box lasts quite months kids mainly using xbox controllers,3
5,"Batteries are pretty much of a commodity as long as they do what they're supposed to do, so I ordered these based on their price -- much cheaper than what you can buy in a store. And these batteries seem to last as long as any of the name brands. A good value.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,batteries pretty much commodity long theyre supposed ordered based price much cheaper buy store batteries seem last long name brands good value,0
5,These Amazon batteries seem like a good value.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,amazon batteries seem like good value,0
5,Everyone needs AA batteries. These are fine and a great price!,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,everyone needs aa batteries fine great price,0
4,"so many batteries, so little money. A great deal",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,many batteries little money great deal,0
5,"A great deal, and the batteries have a good life to them. I will buy again when I start running low.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great deal batteries good life buy start running low,0
5,"All I buy now is AmazonBasics when it comes to batteries. They are long lasting and a great price. I have tried the AA, AAA, and 9-volt. As a cheap shopper, I am pleased with their performance and price.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,buy amazonbasics comes batteries long lasting great price tried aa aaa 9volt cheap shopper pleased performance price,0
5,"Between LeapPads, Xbox controllers and remotes, we use batteries a lot. These have held up great with a comparable lifespan to other household brands.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,leappads xbox controllers remotes use batteries lot held great comparable lifespan household brands,0
5,My PS3 remote control and my television remote controls work again thanks to these AAA batteries.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,ps3 remote control television remote controls work thanks aaa batteries,0
4,"Ive been buying these since they started selling them. The last batch, I had one that leaked. It was in a rather expensive candle, so a heads up for those using this battery to check once in a while. Ive never had this happen before. It turned all brown on one side and could have ruined my candle if I didnt clean it out real good. The battery was only week old, used infrequently in an air conditioned home. I will still continue to buy these.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,ive buying since started selling last batch one leaked rather expensive candle heads using battery check ive never happen turned brown one side could ruined candle didnt clean real good battery week old used infrequently air conditioned home still continue buy,3
5,"Lieutenant Dan got me these batteries. So then I got a call from him, saying we dont have to worry about batteries no more. And I said, thats good! One less thing. -Forrest",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,lieutenant dan got batteries got call saying dont worry batteries said thats good one less thing forrest,0
5,Great Batteries,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great batteries,1
5,I happen to have remote controls in our house and this item certainly is a must in my living room.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,happen remote controls house item certainly must living room,3
5,"This is a great purchase. My outdoor cameras on my house them. Compared to the leading namebrands, I find these to last longer. I am getting four months per pair of batteries instead of three months with my surveillance cameras.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great purchase outdoor cameras house compared leading namebrands find last longer getting four months per pair batteries instead three months surveillance cameras,0
5,"I've been buying AAA alkaline batteries in packages of four at the dollar store and thought I was getting a pretty good deal on the price, but it bothered me to have to throw away so much packaging every time I needed four batteries. Then I was checking out a fellow reviewer's profile and found a review of the AmazonBasics AAA batteries. He (or she, I can't remember) claimed these work as well or better than name brands and are even less expensive than the dollar store deals and with much less waste in the packaging.So I ordered some and his advice was right on the money. I've used them (so far) in small flashlights and in one of my TENS machines. Great performance. The price (which seems to fluctuate) is less than I was paying locally. Best of all, you get 36 batteries in a tiny cardboard box that measures 4 1/4 x 2 1/4 x 2 1/4. There are 9 sealed packages of 4 batteries each, but there's much less waste in the packaging. Amazon claims 10-year, no-leak shelf life for them, but even I use batteries faster than that.I think this is a great product at a great price and I love the packaging. Glad I stumbled onto them.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,ive buying aaa alkaline batteries packages four dollar store thought getting pretty good deal price bothered throw away much packaging every time needed four batteries checking fellow reviewers profile found review amazonbasics aaa batteries cant remember claimed work well better name brands even less expensive dollar store deals much less waste packagingso ordered advice right money ive used far small flashlights one tens machines great performance price seems fluctuate less paying locally best get 36 batteries tiny cardboard box measures 4 14 x 2 14 x 2 14 9 sealed packages 4 batteries theres much less waste packaging amazon claims 10year noleak shelf life even use batteries faster thati think great product great price love packaging glad stumbled onto,0
5,"Thats a whole lot of batteries! I ordered the 48 pack of AA batteries and its so much cheaper than a much smaller branded pack from the big chain stores. They arrived packaged well and wrapped nicely, see included pictures for details. I like to keep extra batteries around because most new electronics do not have included batteries these days. I hate getting a device in the mail and scavenging the house for batteries or stealing them from the remote controls. At this price, we can all afford to keep a bunch on hand. Ive tested these on several devices so far and they appear to be comparable to brand name batteries, they last a long time and bring all my electronics to life with renewed vigor. I'll definitely be buying more in the future.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,thats whole lot batteries ordered 48 pack aa batteries much cheaper much smaller branded pack big chain stores arrived packaged well wrapped nicely see included pictures details like keep extra batteries around new electronics included batteries days hate getting device mail scavenging house batteries stealing remote controls price afford keep bunch hand ive tested several devices far appear comparable brand name batteries last long time bring electronics life renewed vigor ill definitely buying future,0
5,The batteries works very well. Great quality. You can't beat the price,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,batteries works well great quality cant beat price,0
5,Great value!,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great value,1
5,Good price,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,good price,2
5,A great deal for the price. Let's hope these alkaline last longer.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great deal price lets hope alkaline last longer,0
5,awesome so far no duds,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,awesome far duds,3
5,Good value. As good as Duracell,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,good value good duracell,2
5,Great Quality ...Excellant Price,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great quality excellant price,1
5,I bought this for a friend.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,bought friend,3
5,These Amazon AA batteries are great. They are just as good as any high priced battery.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,amazon aa batteries great good high priced battery,0
5,I was very impressed with the packaging of these batteries. They work as well as any of the top commercial AA batteries. I will keep them handy for any future use.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,impressed packaging batteries work well top commercial aa batteries keep handy future use,0
4,Last just as long as other less expensive brands.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,last long less expensive brands,0
5,These are really good batts and a great price.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,really good batts great price,2
5,"Excellent batteries and it's a better value than buying the batteries in smaller packs. Amazon's batteries are just as good as other manufacturers. With the subscribe and save, it's even a better deal.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,excellent batteries better value buying batteries smaller packs amazons batteries good manufacturers subscribe save even better deal,0
5,So far the batch is worth it. The batteries are solid and work well. When they are on sale they are worth the buy.I recommend and would buy again.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,far batch worth batteries solid work well sale worth buyi recommend would buy,0
5,they work. good price. as expected,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,work good price expected,4
5,A wonderful way to purchase these.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,wonderful way purchase,3
5,great batteries,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great batteries,1
5,Very nice packaging. Good batteries.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,nice packaging good batteries,2
4,We'll See how they last.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,well see last,0
5,Batteries. AAA. They fit and work in objects requiring AAA batteries.*Not for internal consumption.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,batteries aaa fit work objects requiring aaa batteriesnot internal consumption,0
1,These don't last long at all.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),negative,dont last long,0
5,AAA batteries. They last adequately and are at a very competitive price point. For that reason I don't think I will be buying batteries from any competitor if they're more expensive than these. Bravo Amazon.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,aaa batteries last adequately competitive price point reason dont think buying batteries competitor theyre expensive bravo amazon,0
5,Love these batteries. They last just as long as the top name brand battery for a fraction of the price. Look no further. Check out the discharge and compare. They are solid!,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,love batteries last long top name brand battery fraction price look check discharge compare solid,0
5,"I have been using these batteries for some time now and they seem to be holding up as well or better than any name brand I have used in the past. The price, packaging and shelf life make Amazon batteries a winner.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,using batteries time seem holding well better name brand used past price packaging shelf life make amazon batteries winner,0
5,You get what you pay for in life bht for the lrice and amount these are actually great one say or two days of strong power for flashlights or wireless headphones etc. For remotes theyblast for quite a while. Package was nice fast delivery thunking of actually buying different sizes for other electronics ...would definitly order again ...kinda like gas not premium or regular something like a plus ....lol i have tried all those other expensive brands thats supposed to last 10x more longer well by the time you pay for one pack and get maybe a months wirth depending on usage you could have a 100 of these and still have left over......just saying your not buying tires or brakes for your car so test them out they sell it in smaller amounts and subscdiption amount etc....,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,get pay life bht lrice amount actually great one say two days strong power flashlights wireless headphones etc remotes theyblast quite package nice fast delivery thunking actually buying different sizes electronics would definitly order kinda like gas premium regular something like plus lol tried expensive brands thats supposed last 10x longer well time pay one pack get maybe months wirth depending usage could 100 still left overjust saying buying tires brakes car test sell smaller amounts subscdiption amount etc,3
5,Work better than the Kodak batteries that I had previously,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,work better kodak batteries previously,4
5,This is an affordable set of rechargable Alkaline batteries.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,affordable set rechargable alkaline batteries,0
5,I didn't know Amazon makes batteries at a very affordable amount. Now i know where to purchase batteries.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,didnt know amazon makes batteries affordable amount know purchase batteries,0
5,Affordable. Long lasting battery life.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,affordable long lasting battery life,0
5,These batteries are very durable. AmazonBasics did very well on this product.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,batteries durable amazonbasics well product,0
2,"We use battery operated candles with timers. The batteries normally have to be changed once a month. These cheap batteries lasted 2 weeks. I thought these batteries were a good deal, but I was wrong.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),negative,use battery operated candles timers batteries normally changed month cheap batteries lasted 2 weeks thought batteries good deal wrong,0
5,Work well at a lower price. All is good.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,work well lower price good,4
4,"a couple of low juice ones, but I bought a charger and all is good",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,couple low juice ones bought charger good,3
2,"Maybe mine is a bad batch, had a serious leak on one of them, these batteries seem to last as long as duracells but duracells never leaked in my experience",AmazonBasics AAA Performance Alkaline Batteries (36 Count),negative,maybe mine bad batch serious leak one batteries seem last long duracells duracells never leaked experience,0
4,Always a good deal,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,always good deal,2
5,"Amazing deal on these batteries! We have six kids so we are always needing batteries for something - whether it be a game, or a computer mouse, or whatever ... we always need a good stock of batteries. As far as holding up and doing the job, they seem to be doing great! I will update if I find any problems. So far, so good. Will need to buy more once Christmas gets closer.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,amazing deal batteries six kids always needing batteries something whether game computer mouse whatever always need good stock batteries far holding job seem great update find problems far good need buy christmas gets closer,0
5,Great batteries at a fantastic price. Don't buy your batteries from Wal-Mart when you can get more than twice as many for a cheaper price on Amazon.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great batteries fantastic price dont buy batteries walmart get twice many cheaper price amazon,0
5,"This batteries were dirt cheap, way cheaper than buying batteries in the store. They arrived in a nice, compact cardboard box and they last a long time. You will not be disappointed because these are not cheap knock-off black label batteries.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,batteries dirt cheap way cheaper buying batteries store arrived nice compact cardboard box last long time disappointed cheap knockoff black label batteries,0
5,Tons of batteries for the lowest price I've found. Superb product by amazon.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,tons batteries lowest price ive found superb product amazon,0
5,"I bought this for my dad, I buy Anker for all my cable and power needs, and once again, they did not disappoint. This is a must buy!!!!",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,bought dad buy anker cable power needs disappoint must buy,3
5,"Good buy on batteries,long life.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,good buy batterieslong life,2
5,Great price and solid performer!,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great price solid performer,3
5,Good batteries. All fit in the uxcelPlastic case for AAA batteries...,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,good batteries fit uxcelplastic case aaa batteries,0
5,"Amazon Basic Batteries are the best, I buy them in all varieties.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,amazon basic batteries best buy varieties,0
5,Prior reviews were very good on these batteries so we thought we would give them a try. So far so good! All are still working as described . Will change review should we need to- but now highly satisfied .,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,prior reviews good batteries thought would give try far good still working described change review need highly satisfied,0
5,"Great batteries. They perform well, definitely not cheap batteries. I will probably purchase more as the price is just right and you get about 20.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great batteries perform well definitely cheap batteries probably purchase price right get 20,0
5,"They are batteries, they work and they last...What else",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,batteries work lastwhat else,4
5,I've never had a problem with any of Amazons stuff. I actually prefer it over namebrand because of the cost-effectiveness if it's not something that's going to show and look tacky I could care less... batteries are one of them,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,ive never problem amazons stuff actually prefer namebrand costeffectiveness something thats going show look tacky could care less batteries one,3
5,"Amazon basics batteries are just as good as the name brands from my experience. Well packaged in easy open box, whivh I appreciate since I have arthritis. Box is small enough to keep the rest of the batteries from getting all over and easy to find when replacement is needed. A",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,amazon basics batteries good name brands experience well packaged easy open box whivh appreciate since arthritis box small enough keep rest batteries getting easy find replacement needed,0
5,I started buying these large packs of Amazon batteries because of the great value and previous experience with Amazon Basic products. These batteries seem to work as well as my Energizers and Duracells at a fraction of the cost. I will be buying more AA and AAA when I run low. That should take a while with this large pack.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,started buying large packs amazon batteries great value previous experience amazon basic products batteries seem work well energizers duracells fraction cost buying aa aaa run low take large pack,0
5,Work great and are a great price. Can't beat that! These seem to be on par with low to mid tier brand battery live so can't complain.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,work great great price cant beat seem par low mid tier brand battery live cant complain,3
5,"So far, these hold up really well. For the price, they are simply unbeatable. They come packaged in a small, generic box. I've now tried 4 AmazonBasics products, and I haven't got a complaint about any so far. Amazon seems to not only want to make cheap products, but they also don't seem to want to get complaints and returns as well. Who has time for all of the mess So, do it right the first time, and see what happens.Thanks for another great product!*If my review was helpful in any way, please click the little YES button. If not, just laugh and move on.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,far hold really well price simply unbeatable come packaged small generic box ive tried 4 amazonbasics products havent got complaint far amazon seems want make cheap products also dont seem want get complaints returns well time mess right first time see happensthanks another great productif review helpful way please click little yes button laugh move,3
5,Batteries that get the job done. Cool packaging. Amazon claims another industry.,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,batteries get job done cool packaging amazon claims another industry,0
5,"This is a great buy and last along time, Amazon Basics is great .",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great buy last along time amazon basics great,1
4,OK,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,ok,3
4,Works great and holds chaege as well as and battery I have had,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,works great holds chaege well battery,3
5,"Great price, and I'm very pleased with performance.",AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,great price im pleased performance,1
5,I love these batteries. Affordable and have worked well in all our game console controllers and kids toys that are frequently used!,AmazonBasics AAA Performance Alkaline Batteries (36 Count),positive,love batteries affordable worked well game console controllers kids toys frequently used,0
